resource,bytes,organisations,endpoints,start-date,end-date
0042ac514ca21114b3c9ddeba39da153305ecc63bacc9795af60cbcf833c1920,4520,local-authority-eng:NFK,6be19907e749ccaecea92d9a0819172bc0892b60d8ff2eedfa7adeb70486172e,2021-02-11,
09a29f9bc4cfed659c732f5ce2a7595ac827606a48862f4c8c8897d109be2ef9,1420,local-authority-eng:ADU,675f65fd59ba990515e78f92aaf5394fa9442c2a6af1e4f99882ff953279f474,2021-02-11,
0e4e4920dae85cfbc313362b9e39b11572f165d113d949ec87d7024a5d60e881,385,local-authority-eng:NEA,bc0800197b172da0af614ad9953ccffd120fd871ce7c3a92bab785f6769ab1dd,2021-02-11,
246652df4c3637f7d3e7b73ee7af6299e6a8c7f3a40ddedd6dd1cac48265f6e0,1958,local-authority-eng:NEA,b3fd56e66f51e1b601085e3db5a6735cde5fe19cb5bfe4ff59937a04b547b764,2021-02-11,
31e233319b082fed11b3e2336c51d757a8a121ac7c6caf8a97f3cbe8ee411a76,2652,local-authority-eng:SNR,f6f0f76c3e0c963b8899b552fae0ec4ee8c1c8119210faa10f238dc2bbdf08b9,2021-02-11,
39993d6037d10b5798f09cd74eed58ca6536808bab6c398748928bd876e26a54,492,local-authority-eng:WDE,455a640f3c8e3f305cf00b4d8c7d89d87e7878badee030c3d96fe2771a1c777b,2021-02-11,
3a60c2546d08242f531946e2001f0b654354131e67b09cdad871b66b71ef6847,3246,local-authority-eng:SLF,9433a80b62706e6d39bb1145f9452dc818594dcd061948dd7437b07d7ad7fe37,2021-02-11,
3b2b2840f5d22b045794f23e9b9c4bda1571217fb5aad71e22a4f44a0ff2d20b,2684,local-authority-eng:EPS,0f37f19b0d3d5eb42ddb18862639cf23cf1456963ab264a37710b8ebb0c8526e,2021-02-11,
4625debf30f73d5156252ce9f03a89ea60296c2578e910074aa62e26fa09057c,1462,local-authority-eng:GOS,afa0b3273bbb7e19c233af9c5dd16bbcbf4091ba69e1909e5a840e3586668f0b,2021-02-11,
463521bc4e1ce3700f2f37aeb2116cf028737231a70678ed562e4bca56ece4cb,25183,local-authority-eng:IOW,0a9a3c4904e8eb53d4e6dc90ab208b93209c930e3a1ef2d3ed9f903c3ef7f482,2021-03-21,
48fb3137be30ce173c3869f9f0278ae5a29d1b72266ce035f4e80e4739d0131a,2854,local-authority-eng:CMA,d4a0f3d0aca376b252ee34333f42c335a97c158c79278ecceb82a7da1b21979d,2021-02-11,
4df67ee29395ec1d8c5e5cbf1fef94636010668ecab77fdfa2b809188454a9a2,9291,local-authority-eng:NLN,98ba431e657f89a7ab7d4994348e09c9d4b55619ab7c9525fd6f7e13c3d915ca,2021-02-11,
5271fcd3ee120860e43f9384540f0b571450a9a309312b6e2e94931757a3bb6f,44181,local-authority-eng:WIL,ce072807557931174a3d22121fd8ac962008181474e5e98d67ac015c624d74ae,2021-02-11,
559bb03b6dd944251f80beca84343e5a78453745d860cb21b239eea57626f7b9,6738,local-authority-eng:WOT,81ef832cefb3916bd499780103bea2953b1575b6949a8b6488b59c8fa3b00002,2021-02-11,
5e2052d196ae7f56a4bc691f63a64aad10ed6cd49e27a0d14921de30ded8f306,2840,local-authority-eng:ERE,e38bfe46143d42ec996fbe99add19c7ed136f2dee12c192edbc85b2211f8ce73,2021-02-11,
7eb2986bedd11e2b6d4985c25ed8f9528bd02ba431124cc6a69bf003bf0714a4,389,national-park-authority:Q4972284,9cf25b31ee020112f85ff40c12b03e96e0cdac1ca8976dfd1da92ccd7d9dd8eb,2021-02-11,
8e763b1d86d8220c90959f43385fb89c0d66116eb817d8ea41ec4e8a01ad4211,529,local-authority-eng:GAT,cd53aa90239d7fab29538bd27572a14ef5d617b08f5eb02f5bd4d07c787baa5b,2021-02-11,
92ae717dcd6c033d29a06ff49c2b21c420093168779a6a1a6a26a5ba3adbcada,22363,local-authority-eng:IOW,0a9a3c4904e8eb53d4e6dc90ab208b93209c930e3a1ef2d3ed9f903c3ef7f482,2021-02-11,2021-02-17
937e118d13655fc9c1c8dea2f307e9bdf6cd8f88e0793151f815b1c32e4ec826,3532,local-authority-eng:BRA,9e811475516670a7f1da1c46472219a07e6ef387d183d49d52bbb43fcc0b2811,2021-02-11,
94926165e72223677e23186759d278b629615bfd8db0d9e65f3aeeea2b5766fd,25519,local-authority-eng:NTY,d0574d7dbacb8f5e91be8f7185f815a10b6d55f02491282b95784969ace63330,2021-02-11,
954f1388c7fc19d02fbad76bb98a7e9c57379b95c0b3bdf4e0cf854129cf839f,11866,national-park-authority:Q72617158,705d90de8c2841af9a725e0e4c0d39166d169e45497d895e04293821d07b2bc1,2021-02-11,
969c98b4e9472b0e945e96b62d03b1e99d137b57840140b1a745fbf9a8b74647,12947,local-authority-eng:ISL,b5e608b9364ce909230c24e4a3230c04bb0fb094a07c4879fcfd9c38a6a05e60,2021-02-11,
9a85055294c6d5217adf020b1d07ae91d7fe0e121f2bd95e090b91684d93a7c0,3098,local-authority-eng:AMB,2949face1bcd597baade64dbc4dcda33805a4ea2b8b89105d298013932f2be3d,2021-02-11,
9f3a85360fb27e8b7ece901cf9e73bb904be9a65bbfb082cffbcce48fa61304d,24183,local-authority-eng:IOW,0a9a3c4904e8eb53d4e6dc90ab208b93209c930e3a1ef2d3ed9f903c3ef7f482,2021-02-20,2021-02-22
a2fa62f0aa7f2a1ad3801ae465e433084e123920163a446eb19e3380c4052841,12759,local-authority-eng:CHA,9926ea3636ef34f766224941b63f631c1b69650a90c74168770317910c128564,2021-02-11,
a46917222774dece27bf9999f2071ecbc613561f57ddb8cded7909e908a81929,23757,local-authority-eng:BOL,091d167efbcfaf8dac1461915dafc485344fa67890db984f63e9d70cdc49a71e,2021-02-11,
ad4fec1eb2947551e2e250809e8d65dd4998ec093a87440f97b441d9e9a1b29c,24515,local-authority-eng:IOW,0a9a3c4904e8eb53d4e6dc90ab208b93209c930e3a1ef2d3ed9f903c3ef7f482,2021-03-18,2021-03-20
b7ded02f8c74e329c9e349963b45dcdf864ff218b7836472d80ce5bb85b88f4c,6390,local-authority-eng:HAL,92c6e28bf2b1867dbffcfbf86ed9b47d1a179b85673059b9187d9344ef7ea55d,2021-02-11,
bafb0a5bf75d8fc7257c8014121791f7c938e97c8b140ab0da4186581ac2b063,1148,local-authority-eng:GLO,9f4b02fe50875efa7ed82f5205a36b98b81d66310d5ffb3987f64fe6155ed83b,2021-02-11,
c2b0b13e441a27f3e841349cede5bd015a034a95f26ecf23ced0c41df93ccd73,6938,local-authority-eng:SLA,b16799e75361adc05a0b40f03e449374fea1c5532ec2d048aad99b33e26a6e34,2021-02-11,
ccf1710214131d07fdbcbda95b640a80578f09377f39f78959938cd8b2ac4ad6,21511,local-authority-eng:SND,7892a892e59ddef72c0a9e19d8262cafb5333486c1298426e06e0d61416681d2,2021-02-11,
d12e5a00ddefa210b010ce0d0eee5d11a789d3e3df8204ca766700bd0c4d63e9,24347,local-authority-eng:IOW,0a9a3c4904e8eb53d4e6dc90ab208b93209c930e3a1ef2d3ed9f903c3ef7f482,2021-02-23,2021-03-17
d5c7e4f72604f412c93621c00f39247efef6028a7ecb485fa44fdc1b76d37510,9205,local-authority-eng:ERY,3992959d38f1c2642f75c91bbbad68c992a065ec50e02ba690ac8f4b711a8269,2021-02-11,
de800995206e44ba86a0a5a4eb309f579da3a763993cffb3c6655bd1f7701c0f,23278,local-authority-eng:IOW,0a9a3c4904e8eb53d4e6dc90ab208b93209c930e3a1ef2d3ed9f903c3ef7f482,2021-02-19,2021-02-19
e029cb76cbe7feac0697ba07b8e2a25b00c05cf3919da4c4f72b4d8670104f17,2712,local-authority-eng:CHT,910e422ddd3431a329371268bfcade444c7f56188295f21b36fe5fb67b17032d,2021-02-11,
e09eeba55db2782a8c44b38b46ac2924e4ac40f0fbb53a5246cac51e3fe698e1,22950,local-authority-eng:IOW,0a9a3c4904e8eb53d4e6dc90ab208b93209c930e3a1ef2d3ed9f903c3ef7f482,2021-02-18,2021-02-18
e8c140ee7c69173f6e6de8cb2c2fad5beb340203e435de93a485bcf548161986,13175,local-authority-eng:BRX,b15edd86367e6636e0f485d4a7d538ab0512dad67b7eb1505854177d2f67a150,2021-02-11,
e9c4e3e55c016bb0c2ea0b64304f70499ea50ed6411fe5773eede0f944e62c86,661,local-authority-eng:SHA,dcd79627acc9f6a449fb6f9dd65823bc8556e68183ec85940c46c8024dd62cf6,2021-02-11,
f45e4d90d15d43a7b3315dbbe1400614d10a5074fde2c158a085abe728cfa478,12887,local-authority-eng:EHE,2398916e652311c83f7d73136018b4c67eba0d5b02bc26289822daf7511a084c,2021-02-11,
f837fdb379cdd6086be9d2b006cef4bdfb9f41ac65a0810cd8293499a135ebcf,1813,local-authority-eng:BOT,baf92f29405c1a04cfb25818fa531d05b29ece1000067f5fee9e855e0969cc24,2021-02-11,
f9edd1a18f643a763435bd801a7e5a7f9a7ba3abc4889fdab54e58c751f19528,1829,local-authority-eng:EST,23edc40c94663cc5c9870d29874115735a5ffae8f111ae3741692452b5a422a7,2021-02-11,
fbd716804eda0c8d0474ba966e38a32359dc716f2cbc6d828775c6054a69c980,3080,local-authority-eng:HRT,6fb30c974f37f266c3947079dd9c3eb60c0cb1eaa550c4a27b1ea2886efd6a6a,2021-02-11,
